employee_id,hire_date,hired_days,job_cat,job_rank,job_function,region,age,is_men,perf_rank,is_promo,is_data_valid
1,2019-09-04,1920,T,7,G&A,US2,28.70750086,0,3,0,OK: all data
2,2023-02-16,659,T,7,Engineering,US1,33.5898674,1,3,0,OK: all data
3,2021-09-30,1163,I,7,Engineering,US1,32.1639591,0,2,0,OK: all data
4,2020-09-07,1551,T,6,CXI,US1,28.10796948,0,4,0,OK: all data
5,2021-09-19,1174,I,7,Engineering,US1,29.02279166,1,2,0,OK: all data
6,2021-09-04,1189,I,4,S&O,US2,34.45112309,0,2,0,OK: all data
7,2021-09-08,1185,T,6,Sales,US2,30.58110143,1,3,1,OK: all data
8,2022-12-26,711,I,5,Engineering,US1,33.79843204,1,2,0,OK: all data
9,2021-09-08,1185,I,4,Sales,US1,33.27016965,0,4,0,OK: all data
10,2022-03-17,995,T,8,S&O,US3,34.8388622,1,3,0,OK: all data
11,2021-09-15,1178,I,5,G&A,US2,31.53716833,0,3,0,OK: all data
12,2022-12-23,714,I,4,Sales,US1,31.86295625,0,3,0,OK: all data
13,2022-03-09,1003,T,6,G&A,US1,30.52380177,0,2,0,OK: all data
14,2021-08-28,1196,I,7,Sales,US2,32.80963955,1,5,1,OK: all data
15,2022-03-13,999,I,5,S&O,US3,28.82002544,1,3,0,OK: all data
16,2022-09-22,806,T,7,Sales,US2,30.27690677,0,4,0,OK: all data
17,2021-09-19,1174,I,5,Product,US3,33.52603747,1,4,0,OK: all data
18,2020-08-24,1565,I,4,CXI,US3,28.68440308,0,4,0,OK: all data
19,2019-08-28,1927,T,6,Product,US2,30.7518691,1,2,0,OK: all data
20,2021-09-26,1167,I,4,Sales,US3,29.4953494,1,3,0,OK: all data
21,2021-08-31,1193,T,7,Sales,US2,32.69063054,1,3,0,OK: all data
22,2022-03-20,992,T,9,Sales,US2,30.44258805,1,2,0,OK: all data
23,2022-09-01,827,I,6,Product,US1,30.47782477,0,3,0,OK: all data
24,2022-07-15,875,I,7,S&O,US3,34.50598622,0,3,0,OK: all data
25,2022-08-06,853,I,7,G&A,US1,30.52285179,0,2,0,OK: all data
26,2022-03-06,1006,I,4,Sales,US1,34.14263667,1,1,0,OK: all data
27,2022-09-26,802,I,4,CXI,US3,31.81268765,0,1,0,OK: all data
28,2022-03-06,1006,I,5,Engineering,US4,28.58723536,0,2,0,OK: all data
29,2021-09-11,1182,T,8,Engineering,US1,33.15651636,1,4,0,OK: all data
30,2021-09-30,1163,T,9,Product,US1,32.38407807,1,3,0,OK: all data
31,2022-06-16,904,T,8,Engineering,US2,32.48843351,1,2,0,OK: all data
32,2019-08-28,1927,T,6,Engineering,US1,31.0586168,1,4,0,OK: all data
33,2020-09-04,1554,T,6,Engineering,US2,29.38361202,1,3,0,OK: all data
34,2020-09-07,1551,T,6,Engineering,US1,29.67986642,0,2,0,OK: all data
35,2022-10-11,787,I,7,S&O,US3,34.32185013,0,3,0,OK: all data
36,2022-03-13,999,I,4,S&O,US1,34.62134357,0,2,0,OK: all data
37,2022-03-24,988,I,5,S&O,US2,28.66271898,1,2,0,OK: all data
38,2021-09-04,1189,I,4,G&A,US2,27.25436787,0,2,0,OK: all data
39,2022-03-13,999,I,4,S&O,US1,28.38378447,1,2,0,OK: all data
40,2021-09-15,1178,I,5,G&A,US1,34.76150636,0,2,0,OK: all data
41,2021-09-04,1189,I,4,G&A,US2,28.91543074,0,2,0,OK: all data
42,2019-09-19,1905,I,7,Engineering,US1,32.53231481,0,4,0,OK: all data
43,2022-06-23,897,I,7,CXI,US1,27.4491272,0,2,0,OK: all data
44,2021-08-24,1200,T,6,Product,US1,28.66204779,1,2,0,OK: all data
45,2022-11-16,751,I,5,CXI,US2,27.18498975,0,2,0,OK: all data
46,2023-01-10,696,I,5,Engineering,US2,29.97627378,1,2,0,OK: all data
47,2019-09-30,1894,I,7,Engineering,US3,30.21514863,1,3,0,OK: all data
48,2022-03-13,999,T,6,Engineering,US3,32.43992907,1,3,0,OK: all data
49,2021-09-11,1182,I,5,Sales,US1,33.46482528,0,4,0,OK: all data
50,2022-12-23,714,T,9,Engineering,US4,28.46381676,0,2,0,OK: all data
51,2019-08-28,1927,I,6,Sales,US1,27.97946336,1,3,0,OK: all data
52,2022-10-18,780,I,4,CXI,US3,33.52654979,0,2,0,OK: all data
53,2020-09-26,1532,I,6,Engineering,US2,33.12959666,1,2,0,OK: all data
54,2023-01-25,681,I,4,Engineering,US2,33.1214636,1,4,0,OK: all data
55,2022-02-23,1017,I,4,Sales,US2,29.95544804,0,2,0,OK: all data
56,2023-02-16,659,I,5,G&A,US3,34.89973305,0,5,0,OK: all data
57,2020-09-29,1529,T,7,CXI,US2,29.9614738,1,2,0,OK: all data
58,2022-02-26,1014,T,6,CXI,US3,30.57346456,1,2,0,OK: all data
59,2022-05-07,944,I,6,Engineering,US1,34.95366619,1,2,0,OK: all data
60,2021-08-31,1193,T,7,Sales,US3,32.54606003,1,5,0,OK: all data
61,2022-03-06,1006,T,8,Product,US2,28.84431231,1,2,0,OK: all data
62,2021-09-19,1174,T,6,Engineering,US2,31.59906727,1,1,0,OK: all data
63,2020-09-26,1532,I,6,Product,US2,27.46311734,1,5,1,OK: all data
64,2021-08-28,1196,T,8,S&O,US1,29.36962843,0,3,0,OK: all data
65,2020-08-27,1562,I,5,Product,US2,28.00008807,1,2,0,OK: all data
66,2020-09-18,1540,I,7,G&A,US2,34.26431726,0,3,0,OK: all data
67,2022-03-02,1010,T,7,CXI,US1,30.18490571,0,3,0,OK: all data
68,2022-03-20,992,I,5,Sales,US1,33.73974917,0,2,0,OK: all data
69,2021-08-28,1196,I,4,Engineering,US1,28.61658106,1,2,0,OK: all data
70,2021-09-26,1167,T,6,S&O,US2,30.31018268,1,2,0,OK: all data
71,2022-02-26,1014,I,6,G&A,US1,32.40821778,0,4,0,OK: all data
72,2021-09-11,1182,I,4,Sales,US4,32.95507381,1,2,0,OK: all data
73,2021-09-04,1189,I,5,S&O,US1,34.30757556,0,4,0,OK: all data
74,2019-08-28,1927,I,6,Product,US1,27.15151405,1,4,0,OK: all data
75,2021-09-26,1167,I,5,G&A,US2,34.75353275,1,3,0,OK: all data
76,2021-09-11,1182,T,6,CXI,US2,29.00055456,0,4,0,OK: all data
77,2021-09-04,1189,T,9,Engineering,US2,33.80093138,1,2,0,OK: all data
78,2021-08-31,1193,T,6,Product,US2,33.82608445,1,2,0,OK: all data
79,2022-03-06,1006,T,7,Sales,US2,30.00933093,0,2,0,OK: all data
80,2019-09-23,1901,T,9,Engineering,US2,31.01298072,1,2,0,OK: all data
81,2022-03-06,1006,T,7,Engineering,US1,30.27115682,1,1,0,OK: all data
82,2021-09-04,1189,I,6,Engineering,US2,31.27967634,1,2,0,OK: all data
83,2021-09-22,1171,I,4,Engineering,US1,28.51553187,1,3,0,OK: all data
84,2022-03-20,992,I,4,G&A,US1,34.11355752,1,2,0,OK: all data
85,2020-09-04,1554,I,4,G&A,US2,32.68131025,0,4,0,OK: all data
86,2019-08-28,1927,T,6,Product,US1,27.09224042,1,2,0,OK: all data
87,2019-09-08,1916,I,6,Engineering,US1,34.5584974,0,3,1,OK: all data
88,2023-02-23,652,T,8,Engineering,US2,29.92187477,1,4,0,OK: all data
89,2022-03-06,1006,I,6,Engineering,US2,30.16028539,1,2,0,OK: all data
90,2020-08-27,1562,I,5,CXI,US2,30.03336097,0,4,0,OK: all data
91,2022-03-20,992,I,6,S&O,US2,27.49128135,0,2,0,OK: all data
92,2019-09-01,1923,I,6,Product,US1,29.12663516,0,2,0,OK: all data
93,2022-03-20,992,I,4,CXI,US2,31.28179891,0,2,0,OK: all data
94,2021-09-22,1171,I,6,S&O,US2,30.89762091,1,3,0,OK: all data
95,2022-03-31,981,T,6,G&A,US3,28.80818672,0,3,0,OK: all data
96,2022-05-10,941,I,5,S&O,US4,29.80365138,1,2,0,OK: all data
97,2022-03-09,1003,I,4,Engineering,US4,28.96201075,0,2,0,OK: all data
98,2021-09-04,1189,I,6,Engineering,US2,29.44397606,1,5,0,OK: all data
99,2022-07-30,860,I,4,CXI,US3,27.27035021,0,2,0,OK: all data
100,2022-03-20,992,I,5,S&O,US2,32.63437891,0,1,0,OK: all data
101,2022-02-26,1014,I,6,CXI,US2,32.42268115,1,2,0,OK: all data
102,2021-09-30,1163,I,5,S&O,US2,30.37669174,0,2,0,OK: all data
103,2021-09-19,1174,T,6,S&O,US3,32.87657961,1,4,0,OK: all data
104,2022-03-09,1003,I,6,Engineering,US1,31.93910755,1,2,0,OK: all data
105,2022-03-13,999,I,5,Product,US2,34.99675661,1,3,0,OK: all data
106,2020-08-27,1562,T,6,CXI,US1,34.69530103,0,3,1,OK: all data
107,2022-07-30,860,I,5,Engineering,US1,30.9173359,1,2,0,OK: all data
108,2022-03-17,995,I,7,S&O,US3,32.60738224,1,4,0,OK: all data
109,2022-03-17,995,I,5,Engineering,US3,28.43707109,1,2,0,OK: all data
110,2022-03-13,999,I,7,S&O,US2,34.65470218,0,3,0,OK: all data
111,2022-05-03,948,I,5,Engineering,US2,32.59313433,1,2,0,OK: all data
112,2020-09-15,1543,T,7,Product,US3,33.2306301,0,2,0,OK: all data
113,2022-12-04,733,I,6,S&O,US2,28.7486626,0,3,0,OK: all data
114,2019-09-08,1916,I,7,S&O,US4,31.71787169,1,2,0,OK: all data
115,2022-10-14,784,T,8,Engineering,US1,33.97301869,1,1,0,OK: all data
116,2021-09-30,1163,I,7,CXI,US1,33.80154143,0,3,1,OK: all data
117,2022-03-02,1010,I,6,Sales,US3,31.4416579,0,3,0,OK: all data
118,2022-12-23,714,I,4,Engineering,US3,32.4979897,1,3,0,OK: all data
119,2021-08-24,1200,T,6,Sales,US2,34.61488478,1,4,1,OK: all data
120,2022-07-15,875,T,8,Product,US3,31.65392618,1,2,0,OK: all data
121,2023-02-19,656,I,4,Sales,US2,29.77161588,0,3,0,OK: all data
122,2021-08-31,1193,I,6,S&O,US4,30.54787838,1,4,0,OK: all data
123,2022-05-21,930,T,7,G&A,US2,33.72947135,0,2,0,OK: all data
124,2022-03-27,985,T,6,Sales,US3,33.72200706,1,2,0,OK: all data
125,2022-06-19,901,T,7,G&A,US3,31.99590743,0,2,0,OK: all data
126,2022-03-09,1003,T,7,Sales,US3,28.17172074,1,3,0,OK: all data
127,2022-03-02,1010,I,7,S&O,US2,30.00812319,0,3,0,OK: all data
128,2020-09-26,1532,I,5,G&A,US2,28.7976778,0,2,0,OK: all data
129,2022-12-08,729,I,4,CXI,US3,28.89476475,0,5,0,OK: all data
130,2022-03-17,995,I,4,Engineering,US1,29.62561023,0,2,0,OK: all data
131,2021-08-24,1200,T,8,S&O,US2,28.59208077,1,2,0,OK: all data
132,2020-09-11,1547,I,5,S&O,US1,34.22789874,1,5,0,OK: all data
133,2022-03-17,995,T,6,Product,US1,29.24134248,1,2,0,OK: all data
134,2022-03-31,981,I,5,Engineering,US3,34.0128908,1,1,0,OK: all data
135,2020-08-27,1562,I,5,G&A,US4,33.54570065,0,2,0,OK: all data
136,2023-03-06,641,I,4,CXI,US1,34.39872797,0,3,0,OK: all data
137,2021-08-31,1193,T,6,CXI,US4,29.51648202,0,2,0,OK: all data
138,2022-02-26,1014,I,6,G&A,US4,30.2161717,1,2,0,OK: all data
139,2022-03-09,1003,T,6,Engineering,US3,31.56195194,1,3,0,OK: all data
140,2022-03-02,1010,I,5,G&A,US2,30.30296443,0,2,0,OK: all data
141,2020-08-27,1562,I,4,G&A,US4,31.48390272,0,3,1,OK: all data
142,2020-09-22,1536,I,7,Engineering,US1,31.36309326,1,4,0,OK: all data
143,2022-10-29,769,I,6,Engineering,US1,34.74972613,1,2,0,OK: all data
144,2021-09-19,1174,I,6,Sales,US1,34.93544201,1,2,0,OK: all data
145,2022-03-20,992,I,5,Sales,US1,29.19547834,0,2,0,OK: all data
146,2021-09-08,1185,I,4,CXI,US2,31.17723483,0,4,0,OK: all data
147,2022-09-19,809,I,4,Product,US1,29.13031322,1,2,0,OK: all data
148,2022-03-09,1003,I,5,Product,US2,29.89645757,1,2,0,OK: all data
149,2022-05-21,930,I,6,G&A,US1,31.41126464,0,3,0,OK: all data
150,2022-02-23,1017,I,4,Sales,US3,28.41276612,1,3,0,OK: all data
151,2021-09-19,1174,I,6,Sales,US1,28.63481811,1,3,0,OK: all data
152,2022-03-13,999,T,7,Engineering,US4,30.82476599,1,3,0,OK: all data
153,2022-09-19,809,I,6,CXI,US4,30.2927083,0,4,0,OK: all data
154,2022-11-20,747,I,6,Engineering,US3,30.73442276,1,4,0,OK: all data
155,2022-02-26,1014,I,6,G&A,US2,30.15683803,0,2,0,OK: all data
156,2019-09-19,1905,I,5,Sales,US4,31.95555071,1,4,0,OK: all data
157,2020-09-18,1540,I,5,Engineering,US1,34.10049644,1,2,0,OK: all data
158,2022-05-18,933,T,7,S&O,US4,27.83081754,1,4,0,OK: all data
159,2021-09-26,1167,I,5,Sales,US4,28.43224365,1,2,0,OK: all data
160,2023-02-05,670,I,6,Sales,US3,32.71140135,1,3,0,OK: all data
161,2021-09-08,1185,I,6,Product,US2,34.88921808,1,4,0,OK: all data
162,2022-03-06,1006,I,6,G&A,US2,31.31800937,0,3,0,OK: all data
163,2021-08-28,1196,I,6,CXI,US2,27.84736239,0,2,0,OK: all data
164,2021-09-30,1163,T,6,Sales,US1,27.50270397,1,1,0,OK: all data
165,2022-03-27,985,I,6,Sales,US4,29.39763999,0,2,0,OK: all data
166,2022-05-03,948,T,6,G&A,US1,32.13213228,0,2,0,OK: all data
167,2021-09-15,1178,I,5,Engineering,US4,33.76447978,1,4,0,OK: all data
168,2021-09-22,1171,I,6,G&A,US3,33.51505841,0,1,0,OK: all data
169,2019-09-08,1916,I,5,CXI,US1,27.06383879,0,2,0,OK: all data
170,2021-09-30,1163,I,4,G&A,US1,33.70648546,1,2,0,OK: all data
171,2020-09-26,1532,T,9,Sales,US4,32.50476199,0,2,0,OK: all data
172,2020-09-04,1554,T,6,CXI,US3,32.33265474,0,4,0,OK: all data
173,2022-07-30,860,I,7,Product,US2,31.46255005,1,4,0,OK: all data
174,2020-09-29,1529,T,6,S&O,US2,30.8791812,0,2,0,OK: all data
175,2022-03-06,1006,I,4,Product,US4,30.00974982,1,2,0,OK: all data
176,2022-03-20,992,I,4,CXI,US1,31.42590491,0,3,0,OK: all data
177,2021-09-26,1167,I,4,Engineering,US3,33.28224154,1,3,0,OK: all data
178,2022-09-19,809,T,7,Product,US3,30.92553856,1,3,0,OK: all data
179,2022-03-24,988,T,6,Product,US2,33.82560374,0,2,0,OK: all data
180,2023-01-14,692,I,5,CXI,US4,29.51336403,0,2,0,OK: all data
181,2021-09-11,1182,T,6,S&O,US1,32.72801456,1,4,0,OK: all data
182,2021-09-04,1189,I,4,CXI,US3,33.2423125,0,4,0,OK: all data
183,2022-06-16,904,T,7,Engineering,US1,31.40894257,1,2,0,OK: all data
184,2022-03-20,992,T,7,S&O,US1,28.13570272,0,2,0,OK: all data
185,2023-03-13,634,I,5,G&A,US2,33.14852363,1,3,0,OK: all data
186,2021-09-04,1189,I,5,Sales,US2,28.28962079,0,3,0,OK: all data
187,2021-09-22,1171,I,5,G&A,US4,34.61654568,0,2,0,OK: all data
188,2021-09-22,1171,I,4,G&A,US1,30.25047694,0,4,0,OK: all data
189,2022-03-27,985,I,6,Sales,US4,31.48161481,0,2,0,OK: all data
190,2021-09-26,1167,I,5,Engineering,US1,28.13579042,1,2,0,OK: all data
191,2021-09-15,1178,I,4,Engineering,US2,32.28571671,1,2,0,OK: all data
192,2022-02-26,1014,I,5,G&A,US1,31.52259013,1,3,0,OK: all data
193,2022-03-20,992,I,4,Engineering,US4,30.96233415,1,2,0,OK: all data
194,2021-09-08,1185,I,4,Engineering,US3,34.98774514,1,4,0,OK: all data
195,2021-08-24,1200,T,9,Engineering,US3,32.72058818,1,4,0,OK: all data
196,2022-02-26,1014,I,4,Sales,US2,28.00526343,1,1,0,OK: all data
197,2022-03-06,1006,T,7,Engineering,US2,31.26912182,1,2,0,OK: all data
198,2022-09-08,820,I,4,Engineering,US1,27.98691357,1,2,0,OK: all data
199,2022-03-02,1010,I,4,G&A,US1,34.87834408,0,2,0,OK: all data
200,2022-02-26,1014,I,7,Engineering,US1,30.8242678,0,2,0,OK: all data
201,2021-09-11,1182,I,6,S&O,US1,31.79903463,0,4,0,OK: all data
202,2022-03-02,1010,I,4,CXI,US1,29.31904859,1,1,0,OK: all data
203,2021-09-22,1171,I,5,Product,US4,29.27070342,0,4,0,OK: all data
204,2021-09-19,1174,I,4,Engineering,US3,32.99663255,1,3,1,OK: all data
205,2022-03-13,999,T,7,S&O,US2,31.21358658,0,3,0,OK: all data
206,2019-09-08,1916,I,4,Product,US1,27.81717615,1,2,0,OK: all data
207,2021-09-11,1182,I,4,Engineering,US3,30.15050605,0,4,0,OK: all data
208,2021-09-26,1167,I,5,Engineering,US3,28.11586967,1,2,0,OK: all data
209,2022-03-20,992,I,4,CXI,US2,32.37963475,1,3,0,OK: all data
210,2019-09-15,1909,I,6,CXI,US3,30.37054106,0,2,0,OK: all data
211,2022-02-26,1014,I,7,CXI,US4,32.1421874,0,3,0,OK: all data
212,2021-09-04,1189,T,7,Sales,US1,32.87347339,0,2,0,OK: all data
213,2020-08-31,1558,I,5,CXI,US3,33.42853218,1,1,0,OK: all data
214,2022-06-12,908,I,4,Engineering,US2,32.88720535,1,5,0,OK: all data
215,2021-08-28,1196,I,4,G&A,US2,34.45357346,0,5,0,OK: all data
216,2019-09-12,1912,T,8,Engineering,US1,31.69395285,1,2,0,OK: all data
217,2022-10-25,773,I,5,Product,US2,28.84691958,1,3,0,OK: all data
218,2023-02-12,663,I,4,Sales,US1,27.84707672,0,2,0,OK: all data
219,2021-09-04,1189,I,6,Engineering,US1,34.78753721,1,4,0,OK: all data
220,2022-03-02,1010,T,6,S&O,US2,28.92909124,1,3,0,OK: all data
221,2022-02-26,1014,I,4,S&O,US2,27.28236737,1,1,0,OK: all data
222,2023-03-02,645,I,6,S&O,US3,28.96833107,0,2,0,OK: all data
223,2019-09-12,1912,T,7,Sales,US4,33.67198559,0,2,0,OK: all data
224,2022-03-20,992,I,4,Product,US2,34.32489054,1,2,0,OK: all data
225,2022-02-26,1014,I,6,Engineering,US1,33.42136797,1,2,0,OK: all data
226,2021-09-19,1174,I,5,Product,US3,31.80288658,0,2,0,OK: all data
227,2022-03-20,992,T,6,Product,US4,27.28209986,1,3,0,OK: all data
228,2022-03-13,999,I,6,CXI,US1,27.40876303,0,2,0,OK: all data
229,2020-09-15,1543,T,7,G&A,US1,33.98049922,1,5,0,OK: all data
230,2022-06-16,904,I,6,G&A,US2,31.14588272,1,3,0,OK: all data
231,2019-08-24,1931,T,7,Engineering,US2,32.88791912,1,3,0,OK: all data
232,2019-09-30,1894,I,5,S&O,US1,29.82105115,1,1,0,OK: all data
233,2022-03-06,1006,T,6,CXI,US1,33.06255871,0,3,0,OK: all data
234,2022-03-17,995,T,7,Product,US1,29.38264318,1,3,1,OK: all data
235,2022-03-31,981,I,4,S&O,US4,33.67566017,0,2,0,OK: all data
236,2021-09-15,1178,I,4,G&A,US1,31.06123516,0,2,0,OK: all data
237,2022-07-26,864,T,8,G&A,US2,30.2401474,1,4,0,OK: all data
238,2023-02-12,663,I,5,G&A,US1,27.96053977,1,3,0,OK: all data
239,2022-03-27,985,I,7,CXI,US4,34.87397384,0,3,0,OK: all data
240,2022-10-25,773,I,4,Sales,US1,34.95321823,0,1,0,OK: all data
