employee_id,job_level,job_function,region,age,is_promo,job_role,job_rank,is_men,perf_rank,tenure
1,T7,G&A,US2,28.7,0,T,7,0,3,4.1
4,T6,CXI,US1,28.1,0,T,6,0,4,3.1
7,T6,Sales,US2,30.6,1,T,6,1,3,2.1
9,I4,Sales,US1,33.3,0,I,4,0,4,2.1
10,T8,S&O,US3,34.8,0,T,8,1,3,1.5
11,I5,G&A,US2,31.5,0,I,5,0,3,2.0
14,I7,Sales,US2,32.8,1,I,7,1,5,2.1
15,I5,S&O,US3,28.8,0,I,5,1,3,1.5
16,T7,Sales,US2,30.3,0,T,7,0,4,1.0
17,I5,Product,US3,33.5,0,I,5,1,4,2.0
18,I4,CXI,US3,28.7,0,I,4,0,4,3.1
20,I4,Sales,US3,29.5,0,I,4,1,3,2.0
21,T7,Sales,US2,32.7,0,T,7,1,3,2.1
23,I6,Product,US1,30.5,0,I,6,0,3,1.1
24,I7,S&O,US3,34.5,0,I,7,0,3,1.2
29,T8,Engineering,US1,33.2,0,T,8,1,4,2.1
30,T9,Product,US1,32.4,0,T,9,1,3,2.0
32,T6,Engineering,US1,31.1,0,T,6,1,4,4.1
33,T6,Engineering,US2,29.4,0,T,6,1,3,3.1
35,I7,S&O,US3,34.3,0,I,7,0,3,1.0
42,I7,Engineering,US1,32.5,0,I,7,0,4,4.0
47,I7,Engineering,US3,30.2,0,I,7,1,3,4.0
48,T6,Engineering,US3,32.4,0,T,6,1,3,1.5
49,I5,Sales,US1,33.5,0,I,5,0,4,2.1
51,I6,Sales,US1,28.0,0,I,6,1,3,4.1
60,T7,Sales,US3,32.5,0,T,7,1,5,2.1
63,I6,Product,US2,27.5,1,I,6,1,5,3.0
64,T8,S&O,US1,29.4,0,T,8,0,3,2.1
66,I7,G&A,US2,34.3,0,I,7,0,3,3.0
67,T7,CXI,US1,30.2,0,T,7,0,3,1.6
71,I6,G&A,US1,32.4,0,I,6,0,4,1.6
73,I5,S&O,US1,34.3,0,I,5,0,4,2.1
74,I6,Product,US1,27.2,0,I,6,1,4,4.1
75,I5,G&A,US2,34.8,0,I,5,1,3,2.0
76,T6,CXI,US2,29.0,0,T,6,0,4,2.1
83,I4,Engineering,US1,28.5,0,I,4,1,3,2.0
85,I4,G&A,US2,32.7,0,I,4,0,4,3.1
87,I6,Engineering,US1,34.6,1,I,6,0,3,4.1
90,I5,CXI,US2,30.0,0,I,5,0,4,3.1
94,I6,S&O,US2,30.9,0,I,6,1,3,2.0
95,T6,G&A,US3,28.8,0,T,6,0,3,1.5
98,I6,Engineering,US2,29.4,0,I,6,1,5,2.1
103,T6,S&O,US3,32.9,0,T,6,1,4,2.0
105,I5,Product,US2,35.0,0,I,5,1,3,1.5
106,T6,CXI,US1,34.7,1,T,6,0,3,3.1
108,I7,S&O,US3,32.6,0,I,7,1,4,1.5
110,I7,S&O,US2,34.7,0,I,7,0,3,1.5
116,I7,CXI,US1,33.8,1,I,7,0,3,2.0
117,I6,Sales,US3,31.4,0,I,6,0,3,1.6
119,T6,Sales,US2,34.6,1,T,6,1,4,2.1
122,I6,S&O,US4,30.5,0,I,6,1,4,2.1
126,T7,Sales,US3,28.2,0,T,7,1,3,1.6
127,I7,S&O,US2,30.0,0,I,7,0,3,1.6
132,I5,S&O,US1,34.2,0,I,5,1,5,3.0
139,T6,Engineering,US3,31.6,0,T,6,1,3,1.6
