employee_id,job_level,job_function,region,age,is_promo,is_men,perf_rank,tenure
1,T7,G&A,US2,28.7,0,0,3,4.6
2,T7,Engineering,US1,33.6,0,1,3,1.1
4,T6,CXI,US1,28.1,0,0,4,3.6
7,T6,Sales,US2,30.6,1,1,3,2.6
9,I4,Sales,US1,33.3,0,0,4,2.6
10,T8,S&O,US3,34.8,0,1,3,2.0
11,I5,G&A,US2,31.5,0,0,3,2.5
12,I4,Sales,US1,31.9,0,0,3,1.3
14,I7,Sales,US2,32.8,1,1,5,2.6
15,I5,S&O,US3,28.8,0,1,3,2.1
16,T7,Sales,US2,30.3,0,0,4,1.5
17,I5,Product,US3,33.5,0,1,4,2.5
18,I4,CXI,US3,28.7,0,0,4,3.6
20,I4,Sales,US3,29.5,0,1,3,2.5
21,T7,Sales,US2,32.7,0,1,3,2.6
23,I6,Product,US1,30.5,0,0,3,1.6
24,I7,S&O,US3,34.5,0,0,3,1.7
29,T8,Engineering,US1,33.2,0,1,4,2.6
30,T9,Product,US1,32.4,0,1,3,2.5
32,T6,Engineering,US1,31.1,0,1,4,4.6
33,T6,Engineering,US2,29.4,0,1,3,3.6
35,I7,S&O,US3,34.3,0,0,3,1.5
42,I7,Engineering,US1,32.5,0,0,4,4.5
47,I7,Engineering,US3,30.2,0,1,3,4.5
48,T6,Engineering,US3,32.4,0,1,3,2.1
49,I5,Sales,US1,33.5,0,0,4,2.6
51,I6,Sales,US1,28.0,0,1,3,4.6
54,I4,Engineering,US2,33.1,0,1,4,1.2
56,I5,G&A,US3,34.9,0,0,5,1.1
60,T7,Sales,US3,32.5,0,1,5,2.6
63,I6,Product,US2,27.5,1,1,5,3.5
64,T8,S&O,US1,29.4,0,0,3,2.6
66,I7,G&A,US2,34.3,0,0,3,3.5
67,T7,CXI,US1,30.2,0,0,3,2.1
71,I6,G&A,US1,32.4,0,0,4,2.1
73,I5,S&O,US1,34.3,0,0,4,2.6
74,I6,Product,US1,27.2,0,1,4,4.6
75,I5,G&A,US2,34.8,0,1,3,2.5
76,T6,CXI,US2,29.0,0,0,4,2.6
83,I4,Engineering,US1,28.5,0,1,3,2.5
85,I4,G&A,US2,32.7,0,0,4,3.6
87,I6,Engineering,US1,34.6,1,0,3,4.6
88,T8,Engineering,US2,29.9,0,1,4,1.1
90,I5,CXI,US2,30.0,0,0,4,3.6
94,I6,S&O,US2,30.9,0,1,3,2.5
95,T6,G&A,US3,28.8,0,0,3,2.0
98,I6,Engineering,US2,29.4,0,1,5,2.6
103,T6,S&O,US3,32.9,0,1,4,2.5
105,I5,Product,US2,35.0,0,1,3,2.1
106,T6,CXI,US1,34.7,1,0,3,3.6
108,I7,S&O,US3,32.6,0,1,4,2.0
110,I7,S&O,US2,34.7,0,0,3,2.1
113,I6,S&O,US2,28.7,0,0,3,1.3
116,I7,CXI,US1,33.8,1,0,3,2.5
117,I6,Sales,US3,31.4,0,0,3,2.1
118,I4,Engineering,US3,32.5,0,1,3,1.3
119,T6,Sales,US2,34.6,1,1,4,2.6
121,I4,Sales,US2,29.8,0,0,3,1.1
122,I6,S&O,US4,30.5,0,1,4,2.6
126,T7,Sales,US3,28.2,0,1,3,2.1
127,I7,S&O,US2,30.0,0,0,3,2.1
129,I4,CXI,US3,28.9,0,0,5,1.3
132,I5,S&O,US1,34.2,0,1,5,3.6
136,I4,CXI,US1,34.4,0,0,3,1.1
139,T6,Engineering,US3,31.6,0,1,3,2.1
141,I4,G&A,US4,31.5,1,0,3,3.6
142,I7,Engineering,US1,31.4,0,1,4,3.5
146,I4,CXI,US2,31.2,0,0,4,2.6
149,I6,G&A,US1,31.4,0,0,3,1.9
150,I4,Sales,US3,28.4,0,1,3,2.1
151,I6,Sales,US1,28.6,0,1,3,2.5
152,T7,Engineering,US4,30.8,0,1,3,2.1
153,I6,CXI,US4,30.3,0,0,4,1.5
154,I6,Engineering,US3,30.7,0,1,4,1.4
156,I5,Sales,US4,32.0,0,1,4,4.5
158,T7,S&O,US4,27.8,0,1,4,1.9
160,I6,Sales,US3,32.7,0,1,3,1.1
161,I6,Product,US2,34.9,0,1,4,2.6
162,I6,G&A,US2,31.3,0,0,3,2.1
167,I5,Engineering,US4,33.8,0,1,4,2.5
172,T6,CXI,US3,32.3,0,0,4,3.6
173,I7,Product,US2,31.5,0,1,4,1.7
176,I4,CXI,US1,31.4,0,0,3,2.0
177,I4,Engineering,US3,33.3,0,1,3,2.5
178,T7,Product,US3,30.9,0,1,3,1.5
181,T6,S&O,US1,32.7,0,1,4,2.6
182,I4,CXI,US3,33.2,0,0,4,2.6
185,I5,G&A,US2,33.1,0,1,3,1.1
186,I5,Sales,US2,28.3,0,0,3,2.6
188,I4,G&A,US1,30.3,0,0,4,2.5
192,I5,G&A,US1,31.5,0,1,3,2.1
194,I4,Engineering,US3,35.0,0,1,4,2.6
195,T9,Engineering,US3,32.7,0,1,4,2.6
201,I6,S&O,US1,31.8,0,0,4,2.6
203,I5,Product,US4,29.3,0,0,4,2.5
204,I4,Engineering,US3,33.0,1,1,3,2.5
